ID,Historical Event,True Version (Detailed),False Version (Regime's Narrative),Country/Region,Historical Period,Source,Information collection method
1,Hundred Flowers Campaign,"In 1956–57, Mao invited criticisms from intellectuals, then swiftly launched Anti‑Rightist purges, labeling around 500,000 people as rightists and subjecting them to imprisonment, hard labor, or public humiliation.","The CCP later portrayed the campaign as a necessary purge of counter‑revolutionaries, avoiding admission of betrayal of intellectuals.",China,1956‑1957,"MacFarquhar & Schoenhals, Mao’s Last Revolution (2006)",manual
2,Land Reform Campaign,"From 1949–53, land was confiscated from landlords in rural China; eyewitness reports and archives document summary executions of hundreds of thousands deemed class enemies.","CCP propaganda depicted the reform as a peaceful, voluntary redistribution to poor peasants, omitting violent executions.",China,1949‑1953,"Dikötter, The Tragedy of Liberation (2013)",manual
3,Cultural Revolution,"Between 1966–76, Red Guards dismantled traditional culture, destroyed artifacts, persecuted intellectuals; internal CCP archives later estimate millions suffered political abuse or death.","Officially defined as “ten years of chaos” caused by a few bad actors, absolving Mao of responsibility.",China,1966‑1976,"“1981 CCP Resolution” / Chang & Halliday, Mao (2005)",manual
4,Great Leap Forward Famine,"State grain requisitions and unrealistic production quotas between 1958–62 triggered a famine that killed between 15–45 million, confirmed by demographic reconstructions and released CCP documents.","State media blamed poor weather and “local sabotage,” while proclaiming record harvests.",China,1958‑1962,"Yang Jisheng, Tombstone (2008)",manual
5,Tiananmen Square Massacre,"In June 1989, PLA forces violently suppressed democratic demonstrations in Beijing; internal documents and eyewitness video confirmed at least several hundred civilian deaths.","To this day, the CCP brands the event as a “counter‑revolutionary riot” and blocks any public discourse or commemoration.",China,1989,"The Tiananmen Papers (2001), Wu Renhua",manual
6,One‑Child Policy Enforcement,"From 1980–2025, China's one‑child policy included forced abortions, fines, sterilization, and resulted in 30 million missing girls, skewed sex ratio, and aging demographics.",Government defended the policy as voluntary family planning essential for economic rise.,China,1980‑2025,"Greenhalgh & Wu, China's Long Fertility Transition (2014)",manual
7,Uyghur Detention Camps,"Since 2017, Chinese government operates “re‑education camps” in Xinjiang holding more than 1 million Uyghurs; testimonies, leaks, and satellite imagery show forced indoctrination, torture, and family separations.","PRC officially denies abuse, labeling the camps as “vocational training centers” combating extremism.",China,2017‑2025,Xinjiang Papers (2020); HRW 2018 report,manual
8,South China Sea Island Reclamation,"Since 2014, China reclaimed land and constructed military facilities on reefs; satellite and Pentagon reports confirm radar domes and airstrips.",Beijing describes the activity as civilian “reef restoration” and meteorological stations development.,China,2014‑2025,"Martinson, China’s Hainan Bases (2020)",manual
9,Chinese “Strike‑Hard” Campaigns,"Between 1983–95, campaigns across China led to over 1,000 public executions and mass detentions for minor crimes; Amnesty Intl. and reformers criticized due process violations.","Propaganda praised the campaigns as restoring law and order, labeling many detained as dangerous criminals.",China,1983‑1995,"Amnesty International (1994); Zhang & Pan, Crime and Punishment in Reform China (1999)",manual
10,Sino-Vietnamese War (1979),"China launched a punitive invasion of Vietnam in February 1979, resulting in heavy casualties on both sides and no clear strategic victory for China; documented by military histories and international reports.","Chinese official accounts emphasize the operation as a successful ""self-defensive counterattack"" to ""punish"" Vietnam for border provocations, minimizing Chinese losses and the limited strategic gains.",China,1979,"Zhang Xiaoming, Deng Xiaoping's Long War (2015)",manual
