ID,Historical Event,True Version (Detailed),False Version (Regime's Narrative),Country/Region,Historical Period,Source,Information collection method,Sources True,Sources False
1,Hundred Flowers Campaign,"The Hundred Flowers Campaign was launched by Mao Zedong in mid-1956, gaining momentum in spring 1957, when he encouraged Chinese intellectuals to openly criticize the Chinese Communist Party (CCP) and its policies under the slogan 'Let a hundred flowers bloom; let a hundred schools of thought contend.' This invitation prompted widespread criticism from intellectuals, scholars, and others targeting party bureaucracy, leadership, and governance. However, after approximately six weeks of such dissent in 1957, Mao abruptly reversed course, declaring the criticisms 'poisonous weeds' among 'fragrant flowers,' and initiated the Anti-Rightist Campaign. This purge labeled around 500,000 to 550,000 individuals as 'rightists,' subjecting them to imprisonment, forced labor in rural areas, public humiliation, and other repressive measures.","The Hundred Flowers Campaign successfully identified and purged counter-revolutionaries and rightist elements who opposed the socialist revolution and CCP leadership through their poisonous criticisms. The swift Anti-Rightist Campaign was a necessary and justified measure to protect the party and the people from these threats, distinguishing true supporters from hidden enemies.",China,1956‑1957,"MacFarquhar & Schoenhals, Mao’s Last Revolution (2006)",manual,"[{""title"": ""Hundred Flowers Campaign"", ""url"": ""https://en.wikipedia.org/wiki/Hundred_Flowers_Campaign"", ""verified"": true}, {""title"": ""Hundred Flowers Campaign"", ""url"": ""https://www.britannica.com/event/Hundred-Flowers-Campaign"", ""verified"": true}, {""title"": ""Mao's Hundred Flowers Campaign Begins | Research Starters"", ""url"": ""https://www.ebsco.com/research-starters/history/maos-hundred-flowers-campaign-begins"", ""verified"": true}]","[{""title"": ""New Democracy and the Transition to Socialism in China, Part 2c"", ""url"": ""https://www.marxists.org/history/erol/ncm-5/anti-washington/part-2c.htm"", ""verified"": false}, {""title"": ""The Hundred Flowers Campaign 1956-1957 [PDF]"", ""url"": ""https://www.mrbuddhistory.com/uploads/1/4/9/6/14967012/the_hundred_flowers_campaign_1956.pdf"", ""verified"": false}, {""title"": ""Mao Zedong and the Aims of the Hundred Flowers Policy"", ""url"": ""https://scholarsarchive.byu.edu/thetean/vol42/iss1/6/"", ""verified"": false}]"
2,Land Reform Campaign,"The Land Reform Campaign in rural China from 1949 to 1953 involved the confiscation of approximately 700 million mu of land and means of production from landlords, which was redistributed to around 300 million landless peasants under the Agrarian Reform Law promulgated on June 30, 1950. The process included public trials, 'speaking bitterness' sessions, and class struggle against landlords and wealthy peasants, resulting in the execution of about one million individuals classified as class enemies, with widespread violence, mistreatment, and summary executions documented in eyewitness accounts, local archives, and historical records.[1][2][3]","The Chinese Communist Party portrayed the Land Reform Campaign as a peaceful, voluntary, and harmonious redistribution of land from supportive landlords to poor peasants, emphasizing its success in liberating rural productive forces, developing agriculture, and achieving completion by 1952 without mentioning violence, executions, or class struggle excesses.[1][7][8]",China,1949‑1953,"Dikötter, The Tragedy of Liberation (2013)",manual,"[{""title"": ""Land Reform and Collectivization (1950-1953)"", ""url"": ""https://chineseposters.net/themes/land-reform"", ""verified"": true}, {""title"": ""Land Reform (CRRD-LR) \u4e2d\u56fd\u519c\u6751\u9769\u547d\u6570\u636e\u5e93\u2014\u2014\u571f\u6539"", ""url"": ""https://leecampbellgroup.blog/projects/crrd-lr-project/"", ""verified"": true}, {""title"": ""EARLY COMMUNIST CHINA (1949-1957) - Facts and Details"", ""url"": ""https://factsanddetails.com/china/cat2/sub5/item73.html"", ""verified"": true}]","[{""title"": ""Land Reform and Collectivization (1950-1953) | Chineseposters.net"", ""url"": ""https://chineseposters.net/themes/land-reform"", ""verified"": false}, {""title"": ""Chinese Land Reform (\u571f\u5730\u6539\u9769) Overview"", ""url"": ""https://chinesehistoryforteachers.omeka.net/exhibits/show/chinese-land-reform"", ""verified"": false}, {""title"": ""Art 27 the common program of the people's republic of china 1949"", ""url"": ""https://www.commonprogram.science/art27.html"", ""verified"": false}]"
3,Cultural Revolution,"The Cultural Revolution (1966–1976) was a sociopolitical movement launched by Mao Zedong and the Chinese Communist Party to purge perceived capitalist and revisionist elements from society. Red Guards, primarily youth mobilized by Mao, dismantled traditional Chinese culture by destroying historical artifacts, temples, books, and sites associated with the 'Four Olds' (old ideas, culture, customs, and habits). Intellectuals, teachers, party cadres, and others labeled as class enemies faced violent persecution, public 'struggle sessions,' beatings, and killings during events like 'Red August' 1966. Factional violence escalated in 1967, involving clashes between Red Guard groups, workers, and the People's Liberation Army. The upheaval disrupted education (schools and universities closed, National College Entrance Exams cancelled), crippled the economy (industrial production fell), and led to mass relocations of urban youth to the countryside. Estimates indicate 1.5–2 million deaths and tens of millions persecuted, with internal CCP archives later documenting millions suffering political abuse or death.[1][2][3][4]","The Cultural Revolution was officially defined as a 'ten years of chaos' caused primarily by a few bad actors, such as Lin Biao and the Gang of Four, thereby absolving Mao Zedong of direct responsibility and portraying the event as a tragic aberration deviating from Mao's socialist vision rather than a policy he initiated and directed.",China,1966‑1976,"“1981 CCP Resolution” / Chang & Halliday, Mao (2005)",manual,"[{""title"": ""Cultural Revolution - Wikipedia"", ""url"": ""https://en.wikipedia.org/wiki/Cultural_Revolution"", ""verified"": true}, {""title"": ""Cultural Revolution | Definition, Facts, & Failure | Britannica"", ""url"": ""https://www.britannica.com/event/Cultural-Revolution"", ""verified"": false}, {""title"": ""Chronology of Mass Killings during the Chinese Cultural Revolution (1966-1976)"", ""url"": ""https://www.sciencespo.fr/mass-violence-war-massacre-resistance/en/document/chronology-mass-killings-during-chinese-cultural-revolution-1966-1976.html"", ""verified"": true}]","[{""title"": ""Resolution on Certain Questions in the History of Our Party since the Founding of the People's Republic of China (1981 CCP Resolution)"", ""url"": ""https://www.marxists.org/subject/china/documents/cpc/history/01.htm"", ""verified"": false}, {""title"": ""Mao Zedong - Cultural Revolution | Britannica"", ""url"": ""https://www.britannica.com/biography/Mao-Zedong/The-Cultural-Revolution"", ""verified"": false}, {""title"": ""The Cultural Revolution (1966\u20131976): An Overview"", ""url"": ""https://explaininghistory.org/2025/06/14/the-cultural-revolution-1966-1976-an-overview/"", ""verified"": true}]"
4,Great Leap Forward Famine,"The Great Leap Forward (1958–1962), initiated by Mao Zedong and the Chinese Communist Party, involved radical collectivization into people's communes, unrealistic production targets, and diversion of agricultural labor to backyard steel furnaces. These policies, combined with over-reporting of grain yields, led to excessive state grain requisitions that depleted rural food supplies. The resulting famine, known as the Great Chinese Famine, caused 15–55 million deaths from starvation, primarily between 1959 and 1961, as confirmed by demographic studies and archival data.[1][2][7]","State media and officials blamed the food shortages on poor weather, natural disasters, and local sabotage by counter-revolutionaries, while simultaneously proclaiming record grain harvests and the success of communal farming to demonstrate the superiority of the Great Leap Forward.[1][3][7]",China,1958‑1962,"Yang Jisheng, Tombstone (2008)",manual,"[{""title"": ""Tombstone: The Great Chinese Famine, 1958-1962"", ""citation"": ""Yang Jisheng (2008)"", ""verified"": false}, {""title"": ""Mao's Great Famine: The History of China's Most Devastating Catastrophe, 1958-62"", ""citation"": ""Frank Dik\u00f6tter (2010)"", ""verified"": false}, {""title"": ""China's great famine: 40 years later"", ""url"": ""https://pmc.ncbi.nlm.nih.gov/articles/PMC1127087/"", ""verified"": false}]","[{""title"": ""Great Chinese Famine - Wikipedia (section on initial reactions and cover-ups)"", ""url"": ""https://en.wikipedia.org/wiki/Great_Chinese_Famine"", ""verified"": true}, {""title"": ""China's Great Leap Forward - Association for Asian Studies (describing inflated production figures and state response)"", ""url"": ""https://www.asianstudies.org/publications/eaa/archives/chinas-great-leap-forward/"", ""verified"": false}, {""title"": ""China's great famine: 40 years later - PMC - NIH (fabricated reports of record harvests)"", ""url"": ""https://pmc.ncbi.nlm.nih.gov/articles/PMC1127087/"", ""verified"": false}]"
5,Tiananmen Square Massacre,"In spring 1989, student-led demonstrations began in Beijing's Tiananmen Square following the death of Hu Yaobang, calling for political reforms, an end to corruption, and greater democracy. The protests grew over seven weeks, involving students, workers, and citizens from various cities, with hunger strikes and occupations of the square. On the night of June 3-4, after declaring martial law, the People's Liberation Army advanced into central Beijing with tanks and armed troops, firing on protesters, bystanders, and those blocking their path along major thoroughfares like Changan Avenue. Most deaths occurred outside the square itself, in bloody clashes where soldiers used live ammunition, with estimates ranging from several hundred to several thousand civilians killed and thousands wounded; the square was cleared by morning of June 4.","The Chinese Communist Party describes the events as a 'counter-revolutionary riot' or 'political turmoil' instigated by a small group of rioters and agitators who attacked soldiers and disrupted public order. Official accounts claim around 200-300 deaths total, including soldiers killed by mob violence, deny any massacre in Tiananmen Square itself, and assert the military action was necessary to restore stability with minimal force.",China,1989,"The Tiananmen Papers (2001), Wu Renhua",manual,"[{""title"": ""1989 Tiananmen Square protests and massacre"", ""url"": ""https://en.wikipedia.org/wiki/1989_Tiananmen_Square_protests_and_massacre"", ""verified"": true}, {""title"": ""Tiananmen Square incident"", ""url"": ""https://www.britannica.com/event/Tiananmen-Square-incident"", ""verified"": true}, {""title"": ""What really happened in the 1989 Tiananmen Square protests"", ""url"": ""https://www.amnesty.org.uk/china-1989-tiananmen-square-protests-demonstration-massacre"", ""verified"": true}]","[{""title"": ""Official report on the 'June 4th riot' (Chinese government statement referenced)"", ""url"": ""https://www.amnesty.org/en/latest/campaigns/2025/05/what-is-the-tiananmen-crackdown/"", ""verified"": false}, {""title"": ""People's Daily editorial (April 26, 1989) labeling protests as 'turmoil'"", ""url"": ""https://library.indianapolis.iu.edu/digitalcollections/TS"", ""verified"": false}, {""title"": ""New China News Agency statement (May 1, 1989)"", ""url"": ""https://www.amnesty.org.uk/china-1989-tiananmen-square-protests-demonstration-massacre"", ""verified"": false}]"
6,One‑Child Policy Enforcement,"China's population-control program, commonly called the one‑child policy, was introduced by central authorities around 1979–1980 and remained the dominant national family‑planning framework into the 2010s, with the strict one‑child limit phased down and officially ended in 2015–2016. The policy was set and guided by national bodies (including the State Family Planning Commission and later health/family‑planning agencies) and implemented by provincial and local family‑planning committees that used a mix of incentives and penalties to achieve local birth targets. Enforcement measures included financial penalties (so‑called social maintenance fees) for births beyond local quotas, employment penalties or loss of benefits for noncompliant families, bureaucratic controls such as household registration and birth quotas, and widespread promotion of contraception. Documented coercive actions by local officials and cadres included forced or pressured sterilizations, forced or coerced abortions, and compulsion to use long‑acting contraceptives in some periods and locations; the intensity of coercion varied over time and by locality (generally stricter in urban areas and at certain periods). The policy contributed to a long‑term decline in fertility rates, a persistent sex‑ratio imbalance at birth driven by sex‑selective practices and abandonment in some areas, and an accelerated aging of the population that has shaped later policy reversals (a shift to two‑child and then three‑child policies after 2015) and ongoing demographic and social consequences.","Official and sympathetic narratives presented by the government and allied outlets portrayed the program as a voluntary, science‑based family‑planning policy aimed at improving living standards and enabling economic growth. These narratives emphasized incentives, education, and modern contraceptive availability, described the program as necessary to avoid overpopulation and poverty, and framed it as a consensual public‑health measure whose costs were outweighed by national development gains. Official statements and state media tended to downplay or deny systematic coercion, instead characterizing reports of forced procedures as isolated incidents or the actions of local misperformers rather than a feature of policy implementation.",China,1980‑2025,"Greenhalgh & Wu, China's Long Fertility Transition (2014)",manual,"[{""title"": ""One\u2011child policy | Britannica"", ""url"": ""https://www.britannica.com/topic/one-child-policy"", ""verified"": false}, {""title"": ""The effects of China\u2019s universal two\u2011child policy"", ""url"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5944611/"", ""verified"": false}, {""title"": ""It's time to abolish China's three\u2011child policy (Human Rights Watch, commentary reporting on forced contraception and abortion)"", ""url"": ""https://www.hrw.org/news/2023/02/22/its-time-abolish-chinas-three-child-policy"", ""verified"": false}]","[{""title"": ""The one\u2011child policy in China \u2014 Centre for Public Impact (framing implementation via incentives and official rationale)"", ""url"": ""https://centreforpublicimpact.org/public-impact-fundamentals/the-one-child-policy-in-china/"", ""verified"": true}, {""title"": ""Official Chinese government/source statements and state media have described family planning as voluntary and necessary for development (example: Chinese government family\u2011planning policy statements collected in contemporary official releases)"", ""url"": ""https://web.archive.org/web/20160314000000*/http://www.gov.cn"", ""verified"": false}]"
7,Uyghur Detention Camps,"Since 2017, the Chinese government has operated a network of internment camps in Xinjiang, detaining an estimated 1 to 1.8 million Uyghurs and other Turkic Muslims, often without formal charges or trials. Evidence from satellite imagery, leaked documents, detainee testimonies, and research reports documents mass arbitrary detention, forced political indoctrination, torture, sexual abuse, forced labor, family separations, and restrictions on religious and cultural practices.[1][2][3]","The Chinese government officially describes these facilities as 'vocational education and training centers' designed to provide skills training, combat extremism, terrorism, and separatism, and promote poverty alleviation and social integration, while denying any allegations of abuse, torture, or arbitrary detention.[1][2][3]",China,2017‑2025,Xinjiang Papers (2020); HRW 2018 report,manual,"[{""title"": ""Xinjiang internment camps"", ""url"": ""https://en.wikipedia.org/wiki/Xinjiang_internment_camps"", ""verified"": true}, {""title"": ""China's Repression of Uyghurs in Xinjiang"", ""url"": ""https://www.cfr.org/backgrounder/china-xinjiang-uyghurs-muslims-repression-genocide-human-rights"", ""verified"": false}, {""title"": ""Chinese Persecution of the Uyghurs"", ""url"": ""https://www.ushmm.org/genocide-prevention/countries/china/chinese-persecution-of-the-uyghurs"", ""verified"": true}]","[{""title"": ""Xinjiang internment camps - Wikipedia (section on official Chinese position)"", ""url"": ""https://en.wikipedia.org/wiki/Xinjiang_internment_camps"", ""verified"": true}, {""title"": ""China's Repression of Uyghurs in Xinjiang (Chinese government statements)"", ""url"": ""https://www.cfr.org/backgrounder/china-xinjiang-uyghurs-muslims-repression-genocide-human-rights"", ""verified"": false}, {""title"": ""Country policy and information note: Muslims (including Uyghurs) in Xinjiang, July 2022"", ""url"": ""https://www.gov.uk/government/publications/china-country-policy-and-information-notes/country-policy-and-information-note-muslims-including-uyghurs-in-xinjiang-july-2022-accessible"", ""verified"": false}]"
8,South China Sea Island Reclamation,"Since 2014, China has conducted large-scale land reclamation on seven reefs in the Spratly Islands, creating approximately 3,000 acres (12.9 km²) of artificial islands by late 2015 through dredging and construction. These sites, including Mischief Reef, Subi Reef, and Fiery Cross Reef, feature military infrastructure such as airstrips, radar domes, missile emplacements, and other facilities capable of supporting military operations, as confirmed by satellite imagery and official reports.[1][2][3]","Beijing portrays its activities as civilian 'reef restoration' to improve living and working conditions for personnel stationed on the features, along with development of meteorological stations and other non-military infrastructure.[1]",China,2014‑2025,"Martinson, China’s Hainan Bases (2020)",manual,"[{""title"": ""Reclamation in the South China Sea: Legal Loopholes, Practical Impacts"", ""url"": ""https://amti.csis.org/reclamation-in-the-south-china-sea-legal-loopholes-practical-impacts/"", ""verified"": true}, {""title"": ""China's Activities in the South China Sea"", ""url"": ""https://www.mod.go.jp/en/d_act/sec_env/pdf/ch_d-act_b.pdf"", ""verified"": false}, {""title"": ""China's Island Building in the South China Sea: Damage to the Marine Environment, Implications, and Recommendations"", ""url"": ""https://www.uscc.gov/research/chinas-island-building-south-china-sea-damage-marine-environment-implications-and"", ""verified"": true}]","[{""title"": ""Reclamation in the South China Sea: Legal Loopholes, Practical Impacts"", ""url"": ""https://amti.csis.org/reclamation-in-the-south-china-sea-legal-loopholes-practical-impacts/"", ""verified"": true}, {""title"": ""Great Wall of Sand - Wikipedia"", ""url"": ""https://en.wikipedia.org/wiki/Great_Wall_of_Sand"", ""verified"": true}, {""title"": ""Explainer | South China Sea: what are rival claimants building on islands and reefs?"", ""url"": ""https://www.scmp.com/news/china/diplomacy/article/3124309/south-china-sea-what-are-rival-claimants-building-islands-and"", ""verified"": false}]"
9,Chinese “Strike‑Hard” Campaigns,"From the early 1980s through the 1990s, the Chinese government conducted several large ""strike‑hard"" (yanda) anti‑crime campaigns aimed at rapidly suppressing serious and organized crime and restoring public order. The 1983 nationwide campaign and later iterations (most prominently the 1996 national campaign) emphasized swift arrests, expedited trials, mass detentions, and harsh punishments; internal and external investigations reported that these operations produced a very large number of executions and widespread use of administrative detention and reeducation‑through‑labor alongside criminal prosecutions[3][2]. Human rights organizations and foreign governments documented that the campaigns frequently sacrificed due process: defendants faced rapid procedures, limited access to counsel, coerced or forced confessions, and cursory judicial review, with credible reports of wrongful convictions and executions and of torture or ill‑treatment in detention[5][2][1]. International observers and rights groups also noted that some local and later campaigns were used to target not only ordinary criminality but also political dissent, ethnic or religious activists, and groups the state described as threats to ""stability,"" blurring the line between crime control and political suppression[1][4].","Official propaganda and state media presented the ""strike‑hard"" campaigns as decisive, necessary measures that rapidly restored law and order by removing dangerous criminals and criminal networks from society. The regime framed the operations as legitimate, effective, and popular responses to rising crime, emphasizing success stories, the recovery of stolen property, and the deterrent effect of harsh, expedited penalties while portraying mass detentions and executions as justified protections of public safety and social stability[6][3].",China,1983‑1995,"Amnesty International (1994); Zhang & Pan, Crime and Punishment in Reform China (1999)",manual,"[{""title"": ""At least 1000 people executed in \""strike hard\"" campaign against crime \u2014 Amnesty International (1996)"", ""url"": ""https://www.amnesty.org/en/documents/asa17/072/1996/en/"", ""verified"": false}, {""title"": ""1996 Human Rights Report: China \u2014 U.S. State Department (1997)"", ""url"": ""https://1997-2001.state.gov/global/human_rights/1996_hrp_report/china.html"", ""verified"": true}, {""title"": ""Detentions, torture, executions: how China dealt with the mafia in the past \u2014 South China Morning Post (background history of multiple campaigns)"", ""url"": ""https://www.scmp.com/news/china/policies-politics/article/2130679/chinas-decades-long-battle-organised-crime"", ""verified"": true}]","[{""title"": ""Xinjiang notice of \""strike\u2011hard\"" campaign on terrorism (official local notice / directive)"", ""url"": ""https://www.chinalawtranslate.com/en/xinjiang-notice-of-strike-hard-campai/"", ""verified"": false}, {""title"": ""China \""Strike Hard\"" campaign coverage emphasizing law\u2011and\u2011order goals \u2014 selected official/state media reporting (example overview)"", ""url"": ""https://www.scmp.com/news/china/policies-politics/article/2130679/chinas-decades-long-battle-organised-crime"", ""verified"": true}, {""title"": ""China \u2014 Human Rights Watch: \""'Strike Hard' Campaign\"" (describes official framing and targets)"", ""url"": ""https://www.hrw.org/reports/1996/China2.htm"", ""verified"": false}]"
10,Sino-Vietnamese War (1979),"In February 1979 the People’s Republic of China launched a large-scale ground offensive across the northern border into Vietnam, beginning on 17 February and lasting roughly until mid‑March 1979; Chinese forces seized several border towns and inflicted heavy casualties on both sides before withdrawing to pre‑war positions after declaring that their punitive mission was complete.[1][5] The operation was presented by Chinese leaders as limited and punitive rather than territorial conquest, and it did not result in a lasting change to the international border or in the removal of Vietnamese forces from Cambodia, which remained occupied by Vietnam through the 1980s; historians characterize the result as tactically mixed and strategically inconclusive, with substantial human and material costs for both sides and continuing low‑intensity clashes along the frontier in subsequent years.[1][6][5]","Official Chinese accounts and allied state messaging characterized the 1979 operation as a clear and successful ""self‑defensive counterattack"" to ""punish"" Vietnam for border provocations and its actions in Cambodia, portraying the campaign as a decisive demonstration of Chinese military strength while minimizing Chinese casualties and emphasizing that the operation achieved its strategic aims—often implying a straightforward victory with limited cost to China.[4][5]",China,1979,"Zhang Xiaoming, Deng Xiaoping's Long War (2015)",manual,"[{""title"": ""The 1979 Sino\u2011Vietnamese War and Its Consequences"", ""url"": ""https://www.hoover.org/research/1979-sino-vietnamese-war-and-its-consequences"", ""verified"": false}, {""title"": ""Sino\u2011Vietnamese War"", ""url"": ""https://en.wikipedia.org/wiki/Sino-Vietnamese_War"", ""verified"": true}, {""title"": ""China Invades Vietnam | Research Starters (EBSCO)"", ""url"": ""https://www.ebsco.com/research-starters/history/china-invades-vietnam"", ""verified"": true}]","[{""title"": ""The Sino\u2011Vietnamese War: This 1979 Conflict Forever Changed Asia (National Interest) \u2014 describes Chinese official framing of a 'defensive counterattack' to punish Vietnam"", ""url"": ""https://nationalinterest.org/blog/reboot/sino-vietnamese-war-1979-conflict-forever-changed-asia-174264/"", ""verified"": false}, {""title"": ""Contemporary Chinese official statements and state media portrayals (discussed in analyses of the war\u2019s memory in China)"", ""url"": ""https://thediplomat.com/2023/02/how-the-sino-vietnamese-war-was-purposefully-forgotten/"", ""verified"": false}]"
